iteration [];theta [°];theta [rad];Couple [Nm];omega [rad/s]
203;70.050494;1.222612;0.018620;42.359551
204;82.238954;1.435341;0.031989;42.545752
205;94.519056;1.649669;0.008982;42.865643
206;106.824888;1.864446;0.028383;42.955459
207;119.212032;2.080642;0.032746;43.239289
208;131.692987;2.298476;0.020502;43.566750
209;144.232677;2.517335;0.029179;43.771775
210;156.855958;2.737653;0.013851;44.063565
211;169.518919;2.958663;0.028949;44.202074
212;182.264813;3.181121;0.002696;44.491561
213;195.018431;3.403714;0.024954;44.518524
214;207.843535;3.627554;0.032455;44.768062
215;220.761618;3.853017;0.019466;45.092616
216;233.735466;4.079453;0.031494;45.287273
217;246.799538;4.307465;0.014378;45.602213
218;259.904799;4.536194;0.027770;45.745990
219;273.089614;4.766313;0.003368;46.023686
220;286.284078;4.996600;0.027790;46.057367
221;299.558154;5.228276;0.033084;46.335269
222;312.927009;5.461607;0.023272;46.666107
223;326.362533;5.696101;0.033363;46.898823
224;339.893633;5.932263;0.018400;47.232450
225;353.477444;6.169345;0.031729;47.416447
226;7.152152;0.124829;0.015315;47.733735
227;20.870733;0.364263;0.028838;47.886880
228;34.671929;0.605139;0.009400;48.175262
229;48.500055;0.846486;0.028871;48.269266
230;62.410891;1.089276;0.002934;48.557977
231;76.330132;1.332212;0.027441;48.587320
232;90.327988;1.576521;-0.001336;48.861733
233;104.322015;1.820763;0.023113;48.848370
234;118.382257;2.066160;0.034240;49.079503
235;132.540590;2.313270;0.023057;49.421905
236;146.764976;2.561532;0.033603;49.652477
237;161.085629;2.811475;0.019628;49.988509
238;175.462513;3.062399;0.031282;50.184791
239;189.929015;3.314887;0.018600;50.497616
240;204.448800;3.568305;0.030040;50.683614
241;219.054645;3.823225;0.017624;50.984016
242;233.710978;4.079026;0.031520;51.160253
243;248.457608;4.336403;0.017438;51.475448
244;263.254194;4.594652;0.030327;51.649828
245;278.137660;4.854418;0.016647;51.953099
246;293.068817;5.115016;0.033509;52.119570
247;308.095970;5.377289;0.016782;52.454660
248;323.171200;5.640401;0.030415;52.622479
249;338.333564;5.905035;0.016917;52.926634
250;353.544392;6.170514;0.031667;53.095806
251;8.845940;0.154391;0.017749;53.412479
252;24.198335;0.422341;0.029225;53.589969
253;39.634455;0.691752;0.018311;53.882222
254;55.123031;0.962078;0.031497;54.065332
255;70.701839;1.233980;0.019953;54.380297
256;86.337808;1.506879;0.033324;54.579828
257;102.069243;1.781444;0.022621;54.913069
258;117.865482;2.057141;0.035138;55.139276
259;133.762384;2.334594;0.023050;55.490655
260;149.725319;2.613200;0.030503;55.721156
261;165.775639;2.893331;0.027151;56.026184
262;181.903740;3.174819;0.002112;56.297693
263;198.037890;3.456413;0.027808;56.318810
264;214.251705;3.739398;0.007069;56.596890
265;230.485770;4.022736;0.028563;56.667577
266;246.801662;4.307502;0.014382;56.953207
267;263.158755;4.592987;0.030410;57.097025
268;279.602966;4.879992;0.018286;57.401125
269;296.099562;5.167912;0.035564;57.583986
270;312.698044;5.457610;0.023154;57.939629
271;329.362855;5.748466;0.030167;58.171167
272;346.114089;6.040830;0.027582;58.472836
273;2.944340;0.051388;0.003792;58.748657
274;19.785454;0.345321;0.027821;58.786578
275;36.706269;0.640645;0.013556;59.064789
276;53.665919;0.936647;0.031566;59.200345
277;70.715997;1.234227;0.019962;59.516001
278;87.823262;1.532805;0.032444;59.715618
279;105.023472;1.833005;0.025046;60.040062
280;122.295435;2.134458;0.002753;60.290524
281;139.575285;2.436048;0.027918;60.318055
282;156.935114;2.739034;0.014260;60.597234
283;174.335796;3.042734;0.030749;60.739838
284;191.824568;3.347970;0.020552;61.047331
285;209.372218;3.654235;0.030144;61.252854
286;227.006225;3.962006;0.028369;61.554298
287;244.721503;4.271196;0.010307;61.837986
288;262.466309;4.580901;0.031978;61.941056
289;280.302725;4.892205;0.018516;62.260838
290;298.192187;5.204435;0.034472;62.446002
291;316.180404;5.518389;0.027306;62.790724
292;334.246849;5.833708;0.007052;63.063789
293;352.333496;6.149380;0.033627;63.134308
294;10.516478;0.183547;0.018694;63.470580
295;28.753014;0.501835;0.031201;63.657518
296;47.078934;0.821682;0.028415;63.969529
297;65.486258;1.142951;0.012294;64.253683
298;83.928803;1.464834;0.029584;64.376625
299;102.456099;1.788196;0.022990;64.672463
300;121.049255;2.112708;0.000513;64.902361
301;139.643881;2.437245;0.027891;64.907487
302;158.318407;2.763177;0.016898;65.186393
303;177.041343;3.089954;0.035333;65.355375
304;195.865500;3.418498;0.026965;65.708704
305;214.766907;3.748390;0.009655;65.978358
306;233.695973;4.078764;0.031535;66.074905
307;252.715380;4.410715;0.023154;66.390256
308;271.801119;4.743824;0.000904;66.621794
309;290.889447;5.076979;0.029618;66.630837
310;310.062624;5.411614;0.018635;66.927013
311;329.289188;5.747181;0.030311;67.113367
312;348.602586;6.084263;0.028824;67.416476
313;7.998557;0.139601;0.016654;67.704713
314;27.442240;0.478957;0.032613;67.871256
315;46.979352;0.819944;0.028351;68.197385
316;66.597682;1.162349;0.013987;68.480891
317;86.256082;1.505453;0.033271;68.620762
318;106.009798;1.850220;0.027454;68.953477
319;125.842163;2.196360;0.012392;69.228015
320;145.710031;2.543120;0.032927;69.351939
321;165.672227;2.891526;0.027015;69.681212
322;185.711816;3.241283;0.012090;69.951359
323;205.786038;3.591644;0.032975;70.072254
324;225.954727;3.943654;0.027397;70.402008
